"ncbi_gene_id","ensembl_gene_id"
"AGPAT2","ENSTGUG00000006031"
"NSA2","ENSTGUG00000006033"
"POC1A","ENSTGUG00000006036"
"MORN3","ENSTGUG00000006037"
"MTSS2","ENSTGUG00000006038"
"ERN2","ENSTGUG00000006039"
"CST7","ENSTGUG00000006040"
"MINDY2","ENSTGUG00000006043"
"PLTP","ENSTGUG00000006044"
"GATD3A","ENSTGUG00000006045"
"RSKR","ENSTGUG00000006046"
"GHITM","ENSTGUG00000006047"
"PTTG1IP","ENSTGUG00000006048"
"TMEM120B","ENSTGUG00000006049"
"EGFL7","ENSTGUG00000006050"
"SYNDIG1","ENSTGUG00000006051"
"PGK1","ENSTGUG00000006052"
"LOC100227325","ENSTGUG00000006053"
"JARID2","ENSTGUG00000006054"
"FAM169A","ENSTGUG00000006055"
"KIAA0100","ENSTGUG00000006056"
"ETV5","ENSTGUG00000006059"
"GFI1","ENSTGUG00000006060"
"PALLD","ENSTGUG00000006061"
"DES","ENSTGUG00000006062"
"ICOSLG","ENSTGUG00000006063"
"MRPS2","ENSTGUG00000006064"
"DIPK2B","ENSTGUG00000006067"
"ALAS1","ENSTGUG00000006069"
"ARID2","ENSTGUG00000006070"
"GCNT4","ENSTGUG00000006072"
"NOTCH1","ENSTGUG00000006073"
"ANKRD31","ENSTGUG00000006074"
"KDM6A","ENSTGUG00000006075"
"RPAP2","ENSTGUG00000006076"
"IL34","ENSTGUG00000006078"
"JAG1","ENSTGUG00000006079"
"ADAM10","ENSTGUG00000006081"
"SF3B3","ENSTGUG00000006082"
"HMGCR","ENSTGUG00000006083"
"RHOF","ENSTGUG00000006084"
"GLMN","ENSTGUG00000006086"
"AMOT","ENSTGUG00000006087"
"SPEG","ENSTGUG00000006089"
"SCAF11","ENSTGUG00000006091"
"MCUR1","ENSTGUG00000006092"
"SETD1B","ENSTGUG00000006093"
"ANKRD13D","ENSTGUG00000006094"
"TWF2","ENSTGUG00000006095"
"SDF2","ENSTGUG00000006097"
"BOK","ENSTGUG00000006098"
"LOC100223611","ENSTGUG00000006099"
"SH3RF1","ENSTGUG00000006100"
"SUPT6H","ENSTGUG00000006101"
"SH2D4B","ENSTGUG00000006102"
"SLC38A1","ENSTGUG00000006103"
"PALB2","ENSTGUG00000006104"
"EPHX4","ENSTGUG00000006106"
"STK25","ENSTGUG00000006107"
"CTSA","ENSTGUG00000006108"
"LOC100222268","ENSTGUG00000006109"
"RANBP9","ENSTGUG00000006110"
"HPD","ENSTGUG00000006111"
"PLK1","ENSTGUG00000006112"
"LOC115495410","ENSTGUG00000006113"
"LOC115495413","ENSTGUG00000006114"
"PPM1M","ENSTGUG00000006115"
"BRDT","ENSTGUG00000006116"
"TRPC5","ENSTGUG00000006117"
"RPS6KB2","ENSTGUG00000006119"
"LIPC","ENSTGUG00000006120"
"TGFBR3","ENSTGUG00000006121"
"COG4","ENSTGUG00000006122"
"NEK1","ENSTGUG00000006124"
"SLC38A2","ENSTGUG00000006125"
"MKKS","ENSTGUG00000006126"
"PSMD9","ENSTGUG00000006128"
"SIRT5","ENSTGUG00000006129"
"GLYCTK","ENSTGUG00000006130"
"DCTN5","ENSTGUG00000006131"
"MED18","ENSTGUG00000006132"
"SNAP25","ENSTGUG00000006133"
"FARP2","ENSTGUG00000006134"
"CERT1","ENSTGUG00000006135"
"WDR66","ENSTGUG00000006137"
"GMPPA","ENSTGUG00000006138"
"FUNDC1","ENSTGUG00000006139"
"DNAH1","ENSTGUG00000006140"
"TSPAN14","ENSTGUG00000006141"
"TNRC6A","ENSTGUG00000006142"
"RAB34","ENSTGUG00000006143"
"EFHC2","ENSTGUG00000006145"
"KIF13A","ENSTGUG00000006146"
"NEURL2","ENSTGUG00000006147"
"CDC7","ENSTGUG00000006148"
"PPP1CA","ENSTGUG00000006149"
"LOC115495947","ENSTGUG00000006150"
"ACOT8","ENSTGUG00000006152"
"AQP9","ENSTGUG00000006153"
"SLC38A4","ENSTGUG00000006154"
"BCL7A","ENSTGUG00000006155"
"ASIC4","ENSTGUG00000006157"
"MLXIP","ENSTGUG00000006158"
"LOC100222002","ENSTGUG00000006159"
"SEPTIN2","ENSTGUG00000006160"
"CLCN3","ENSTGUG00000006161"
"ANKEF1","ENSTGUG00000006163"
"SNX21","ENSTGUG00000006164"
"MAT1A","ENSTGUG00000006167"
"LOC100224572","ENSTGUG00000006168"
"LOC100223232","ENSTGUG00000006169"
"RPL23A","ENSTGUG00000006170"
"TNNC2","ENSTGUG00000006171"
"HFM1","ENSTGUG00000006172"
"LRRC43","ENSTGUG00000006173"
"LOC105759159","ENSTGUG00000006174"
"LOC100228630","ENSTGUG00000006175"
"FCSK","ENSTGUG00000006176"
"POLK","ENSTGUG00000006177"
"ALDH1A2","ENSTGUG00000006178"
"B3GNT4","ENSTGUG00000006179"
"DCX","ENSTGUG00000006180"
"DIABLO","ENSTGUG00000006181"
"PAK5","ENSTGUG00000006182"
"DNTTIP1","ENSTGUG00000006183"
"RBBP6","ENSTGUG00000006185"
"TLCD1","ENSTGUG00000006186"
"SEC16A","ENSTGUG00000006187"
"ZNF644","ENSTGUG00000006188"
"HDLBP","ENSTGUG00000006189"
"NEK8","ENSTGUG00000006190"
"CHPF","ENSTGUG00000006191"
"LOC100229447","ENSTGUG00000006193"
"VPS33A","ENSTGUG00000006195"
"RASGEF1A","ENSTGUG00000006196"
"AMIGO2","ENSTGUG00000006197"
"TMEM198","ENSTGUG00000006199"
"RPAP3","ENSTGUG00000006201"
"CTNNBL1","ENSTGUG00000006202"
"FAM222B","ENSTGUG00000006204"
"ZNF326","ENSTGUG00000006205"
"CAPN6","ENSTGUG00000006206"
"OBSL1","ENSTGUG00000006207"
"CACNG3","ENSTGUG00000006208"
"LOC100218406","ENSTGUG00000006209"
"ERAL1","ENSTGUG00000006210"
"LAMP5","ENSTGUG00000006211"
"OSBP","ENSTGUG00000006213"
"PLCB4","ENSTGUG00000006214"
"PRKCB","ENSTGUG00000006215"
"AADAT","ENSTGUG00000006219"
"ST3GAL2","ENSTGUG00000006220"
"FLOT2","ENSTGUG00000006221"
"PATL1","ENSTGUG00000006222"
"LRRC8D","ENSTGUG00000006223"
"LOC100219752","ENSTGUG00000006225"
"LRRC8C","ENSTGUG00000006226"
"LRIG3","ENSTGUG00000006227"
"CSGALNACT2","ENSTGUG00000006228"
"PCSK1","ENSTGUG00000006229"
"LRRC8B","ENSTGUG00000006230"
"GALNTL6","ENSTGUG00000006232"
"INHA","ENSTGUG00000006233"
"TPMT","ENSTGUG00000006234"
"KYAT3","ENSTGUG00000006236"
"PDPR","ENSTGUG00000006237"
"STK11IP","ENSTGUG00000006239"
"CLIP1","ENSTGUG00000006241"
"CGNL1","ENSTGUG00000006242"
"GALNT7","ENSTGUG00000006243"
"STX3","ENSTGUG00000006244"
"CAST","ENSTGUG00000006246"
"LCMT1","ENSTGUG00000006248"
"INPP5E","ENSTGUG00000006249"
"RET","ENSTGUG00000006250"
"RPRD1B","ENSTGUG00000006251"
"SLC4A3","ENSTGUG00000006252"
"LOC100228420","ENSTGUG00000006253"
"ARHGAP17","ENSTGUG00000006254"
"DHRS13","ENSTGUG00000006255"
"KDM1B","ENSTGUG00000006257"
"GTF2B","ENSTGUG00000006258"
"MYO18A","ENSTGUG00000006259"
"TGM2","ENSTGUG00000006260"
"HAUS3","ENSTGUG00000006261"
"USP15","ENSTGUG00000006263"
"BAP1","ENSTGUG00000006264"
"PMPCA","ENSTGUG00000006265"
"PPP1R7","ENSTGUG00000006266"
"HMGB2","ENSTGUG00000006267"
"LOC751995","ENSTGUG00000006268"
"LOC100221324","ENSTGUG00000006269"
"TCF12","ENSTGUG00000006270"
"DEK","ENSTGUG00000006271"
"GLG1","ENSTGUG00000006272"
"LOC100221249","ENSTGUG00000006274"
"SAP30","ENSTGUG00000006275"
"MRPL16","ENSTGUG00000006277"
"LOC100229557","ENSTGUG00000006278"
"PASK","ENSTGUG00000006279"
"SCRG1","ENSTGUG00000006280"
"HAND2","ENSTGUG00000006281"
"CCDC86","ENSTGUG00000006282"
"ZP1","ENSTGUG00000006283"
"LOC100220295","ENSTGUG00000006284"
"FBXO8","ENSTGUG00000006285"
"SLC5A11","ENSTGUG00000006287"
"SNED1","ENSTGUG00000006290"
"SEMA3G","ENSTGUG00000006291"
"CRYBA1","ENSTGUG00000006292"
"ENTR1","ENSTGUG00000006293"
"PLCB1","ENSTGUG00000006294"
"PKN2","ENSTGUG00000006295"
"ID4","ENSTGUG00000006296"
"CEP44","ENSTGUG00000006297"
"NUFIP2","ENSTGUG00000006298"
"MBOAT1","ENSTGUG00000006301"
"BMS1","ENSTGUG00000006302"
"SNAPC4","ENSTGUG00000006303"
"TAOK1","ENSTGUG00000006304"
"MAB21L4","ENSTGUG00000006305"
"RSRC2","ENSTGUG00000006306"
"FSD1L","ENSTGUG00000006307"
"LOC100225730","ENSTGUG00000006309"
"ZNF280D","ENSTGUG00000006310"
"HPGD","ENSTGUG00000006311"
"LOC100229864","ENSTGUG00000006312"
"AGXT","ENSTGUG00000006313"
"CARD9","ENSTGUG00000006314"
"LMO4","ENSTGUG00000006316"
"MON2","ENSTGUG00000006318"
"PRPF19","ENSTGUG00000006319"
"KNTC1","ENSTGUG00000006320"
"TRAF7","ENSTGUG00000006321"
"FKTN","ENSTGUG00000006322"
"RFWD3","ENSTGUG00000006323"
"GLRA3","ENSTGUG00000006325"
"KIF1A","ENSTGUG00000006326"
"CDK5RAP1","ENSTGUG00000006328"
"MLKL","ENSTGUG00000006329"
"MNS1","ENSTGUG00000006330"
"DNLZ","ENSTGUG00000006331"
"SELENOF","ENSTGUG00000006332"
"GPSM1","ENSTGUG00000006334"
"E2F3","ENSTGUG00000006335"
"SH3GLB1","ENSTGUG00000006338"
"FA2H","ENSTGUG00000006339"
"LOC100227087","ENSTGUG00000006340"
"ABHD15","ENSTGUG00000006341"
"ANXA11","ENSTGUG00000006343"
"LOC100219242","ENSTGUG00000006344"
"TMEM109","ENSTGUG00000006345"
"GIT1","ENSTGUG00000006346"
"WDR59","ENSTGUG00000006347"
"TEX9","ENSTGUG00000006348"
"CDKAL1","ENSTGUG00000006350"
"TMEM132A","ENSTGUG00000006351"
"ZNF462","ENSTGUG00000006352"
"RAB26","ENSTGUG00000006353"
"PPM1H","ENSTGUG00000006354"
"LOC100221738","ENSTGUG00000006355"
"GPM6A","ENSTGUG00000006358"
"PRTG","ENSTGUG00000006360"
"CD6","ENSTGUG00000006362"
"QSOX2","ENSTGUG00000006363"
"ODF2L","ENSTGUG00000006364"
"BPIFB2","ENSTGUG00000006367"
"PRL","ENSTGUG00000006368"
"CD5","ENSTGUG00000006369"
"RXYLT1","ENSTGUG00000006370"
"PKD1","ENSTGUG00000006371"
"RAD23B","ENSTGUG00000006372"
"LOC100144431","ENSTGUG00000006374"
"CASK","ENSTGUG00000006375"
"ABHD14A","ENSTGUG00000006376"
"ZNRF1","ENSTGUG00000006377"
"SRGAP1","ENSTGUG00000006378"
"LOC100230541","ENSTGUG00000006381"
"COL24A1","ENSTGUG00000006382"
"NRSN1","ENSTGUG00000006383"
"ABHD14B","ENSTGUG00000006384"
"LHX3","ENSTGUG00000006385"
"VPS29","ENSTGUG00000006386"
"LOC100231572","ENSTGUG00000006387"
"WDR17","ENSTGUG00000006388"
"DCDC2","ENSTGUG00000006389"
"LOC100227651","ENSTGUG00000006392"
"PCBP4","ENSTGUG00000006393"
"MAPRE1","ENSTGUG00000006394"
"ZMIZ1","ENSTGUG00000006395"
"ANKRD13B","ENSTGUG00000006396"
"MRS2","ENSTGUG00000006397"
"RAD9B","ENSTGUG00000006398"
"PPTC7","ENSTGUG00000006400"
"LOC100221838","ENSTGUG00000006401"
"NACC2","ENSTGUG00000006402"
"KLF4","ENSTGUG00000006403"
"PARP3","ENSTGUG00000006405"
"TCTN1","ENSTGUG00000006407"
"CAMSAP1","ENSTGUG00000006408"
"LOC105758698","ENSTGUG00000006409"
"VWCE","ENSTGUG00000006410"
"GPLD1","ENSTGUG00000006411"
"DNMT3B","ENSTGUG00000006412"
"DDB1","ENSTGUG00000006414"
"LOC115491069","ENSTGUG00000006415"
"HVCN1","ENSTGUG00000006416"
"LOC100190355","ENSTGUG00000006417"
"CORO6","ENSTGUG00000006418"
"HAO1","ENSTGUG00000006420"
"ASB5","ENSTGUG00000006421"
"LOC100219822","ENSTGUG00000006422"
"POLR3A","ENSTGUG00000006423"
"PPP1CC","ENSTGUG00000006425"
"CNGA2","ENSTGUG00000006426"
"PHAX","ENSTGUG00000006427"
"CCN1","ENSTGUG00000006428"
"UBAC1","ENSTGUG00000006430"
"GPR82","ENSTGUG00000006431"
"GPR34","ENSTGUG00000006433"
"LMNB1","ENSTGUG00000006435"
"BCAR1","ENSTGUG00000006436"
"TSC2","ENSTGUG00000006437"
"NYX","ENSTGUG00000006438"
"SPCS3","ENSTGUG00000006441"
"DDX3X","ENSTGUG00000006442"
"RPL18A","ENSTGUG00000006444"
"COMMD7","ENSTGUG00000006445"
"CLDN2","ENSTGUG00000006446"
"LOC105759173","ENSTGUG00000006447"
"FERMT1","ENSTGUG00000006448"
"CCDC63","ENSTGUG00000006449"
"VEGFC","ENSTGUG00000006451"
"KCNT1","ENSTGUG00000006452"
"SSH2","ENSTGUG00000006453"
"MYL2","ENSTGUG00000006454"
"SYDE2","ENSTGUG00000006457"
"NEIL3","ENSTGUG00000006458"
"XPOT","ENSTGUG00000006459"
"LY75","ENSTGUG00000006460"
"WDR63","ENSTGUG00000006462"
"ALDH5A1","ENSTGUG00000006463"
"SEMA3F","ENSTGUG00000006464"
"CFDP1","ENSTGUG00000006466"
"DNAAF4","ENSTGUG00000006467"
"AGA","ENSTGUG00000006468"
"NOL4L","ENSTGUG00000006469"
"CUX2","ENSTGUG00000006470"
"DLG5","ENSTGUG00000006471"
"TMEM170A","ENSTGUG00000006472"
"RBM41","ENSTGUG00000006473"
"EFCAB5","ENSTGUG00000006474"
"LRRN4","ENSTGUG00000006475"
"SLC12A3","ENSTGUG00000006476"
"PIH1D3","ENSTGUG00000006477"
"CCT4","ENSTGUG00000006478"
"TKFC","ENSTGUG00000006479"
"FRMPD3","ENSTGUG00000006480"
"TENM3","ENSTGUG00000006481"
"LOC100218399","ENSTGUG00000006482"
"ASXL1","ENSTGUG00000006483"
"TBK1","ENSTGUG00000006485"
"NSRP1","ENSTGUG00000006486"
"KIAA0319","ENSTGUG00000006487"
"PLA2R1","ENSTGUG00000006488"
"MARCHF3","ENSTGUG00000006489"
"PHETA1","ENSTGUG00000006490"
"SH2B3","ENSTGUG00000006491"
"CCPG1","ENSTGUG00000006492"
"CZH5orf63","ENSTGUG00000006493"
"MEGF10","ENSTGUG00000006496"
"ATXN2","ENSTGUG00000006497"
"KIF3B","ENSTGUG00000006498"
"PIGB","ENSTGUG00000006499"
"GNAT1","ENSTGUG00000006500"
"SLC6A4","ENSTGUG00000006501"
"RPL8","ENSTGUG00000006502"
"PRPS1","ENSTGUG00000006503"
"LOC100226903","ENSTGUG00000006504"
"PSMD5","ENSTGUG00000006505"
"CYBASC3","ENSTGUG00000006507"
"FAM161A","ENSTGUG00000006509"
"TMEM216","ENSTGUG00000006511"
"XPO1","ENSTGUG00000006512"
"CPSF7","ENSTGUG00000006513"
"KCNMA1","ENSTGUG00000006514"
"TMSB15B","ENSTGUG00000006515"
"SLC38A3","ENSTGUG00000006517"
"LOC115495290","ENSTGUG00000006519"
"BRAP","ENSTGUG00000006520"
"USP9X","ENSTGUG00000006522"
"RASSF3","ENSTGUG00000006523"
"SSX2IP","ENSTGUG00000006524"
"PHF19","ENSTGUG00000006527"
"LRRC10B","ENSTGUG00000006528"
"SEMA3B","ENSTGUG00000006529"
"SYT7","ENSTGUG00000006531"
"TM9SF4","ENSTGUG00000006532"
"LOC100190731","ENSTGUG00000006533"
"GNS","ENSTGUG00000006534"
"UNC13C","ENSTGUG00000006535"
"DCTD","ENSTGUG00000006536"
"PRRC1","ENSTGUG00000006537"
"BLMH","ENSTGUG00000006538"
"LOC100190094","ENSTGUG00000006540"
"SALL3","ENSTGUG00000006541"
"ACAD10","ENSTGUG00000006542"
"WWC2","ENSTGUG00000006543"
"VIT2","ENSTGUG00000006544"
"SLC12A2","ENSTGUG00000006546"
"BBS2","ENSTGUG00000006547"
"ATP9B","ENSTGUG00000006549"
"ILKAP","ENSTGUG00000006550"
"USP34","ENSTGUG00000006553"
"GLRA4","ENSTGUG00000006554"
"TRAF1","ENSTGUG00000006555"
"NTHL1","ENSTGUG00000006556"
"TMIGD1","ENSTGUG00000006557"
"HCK","ENSTGUG00000006558"
"LRMDA","ENSTGUG00000006559"
"CPD","ENSTGUG00000006560"
"ZNF503","ENSTGUG00000006563"
"TBC1D30","ENSTGUG00000006564"
"COMTD1","ENSTGUG00000006565"
"C5","ENSTGUG00000006567"
"KLHL30","ENSTGUG00000006568"
"DAGLA","ENSTGUG00000006570"
"ZNF598","ENSTGUG00000006571"
"LOC100232776","ENSTGUG00000006572"
"LOC100224927","ENSTGUG00000006574"
"TF","ENSTGUG00000006576"
"VDAC2","ENSTGUG00000006577"
"ING2","ENSTGUG00000006578"
"WIF1","ENSTGUG00000006579"
"RWDD4","ENSTGUG00000006580"
"CTBS","ENSTGUG00000006581"
"RRP9","ENSTGUG00000006584"
"OGFOD1","ENSTGUG00000006586"
"NOXO1","ENSTGUG00000006587"
"LEMD3","ENSTGUG00000006588"
"TRAPPC11","ENSTGUG00000006590"
"LOC100219376","ENSTGUG00000006592"
"TAF7L","ENSTGUG00000006593"
"GRM2","ENSTGUG00000006595"
"NUDT21","ENSTGUG00000006599"
"MYRF","ENSTGUG00000006600"
"PDRG1","ENSTGUG00000006601"
"CNTRL","ENSTGUG00000006602"
"DUSP15","ENSTGUG00000006604"
"DNASE2B","ENSTGUG00000006605"
"RBMS1","ENSTGUG00000006606"
"TEX264","ENSTGUG00000006607"
"LOC100220302","ENSTGUG00000006608"
"WDR72","ENSTGUG00000006614"
"SRPRB","ENSTGUG00000006615"
"LOC100189932","ENSTGUG00000006616"
"TMBIM4","ENSTGUG00000006618"
"MED14","ENSTGUG00000006619"
"LOC100225279","ENSTGUG00000006620"
"NFATC1","ENSTGUG00000006621"
"RHOA","ENSTGUG00000006623"
"ABR","ENSTGUG00000006626"
"FEN1","ENSTGUG00000006627"
"MAPKAPK5","ENSTGUG00000006628"
"LOC100230622","ENSTGUG00000006630"
"GPX1","ENSTGUG00000006631"
"HELB","ENSTGUG00000006632"
"USP4","ENSTGUG00000006633"
"AMFR","ENSTGUG00000006634"
"ATP6AP2","ENSTGUG00000006635"
"SLCO2A1","ENSTGUG00000006636"
"RMDN3","ENSTGUG00000006637"
"ONECUT1","ENSTGUG00000006638"
"DRP2","ENSTGUG00000006639"
"TPX2","ENSTGUG00000006640"
"FBN2","ENSTGUG00000006641"
"FAM214A","ENSTGUG00000006642"
"PRKACB","ENSTGUG00000006643"
"STOX2","ENSTGUG00000006645"
"BCOR","ENSTGUG00000006646"
"TANK","ENSTGUG00000006647"
"GRIP1","ENSTGUG00000006648"
"CTDP1","ENSTGUG00000006649"
"TIMM22","ENSTGUG00000006650"
"ENPP6","ENSTGUG00000006653"
"MYO5A","ENSTGUG00000006654"
"SPECC1","ENSTGUG00000006655"
"NAA25","ENSTGUG00000006656"
"RAB14","ENSTGUG00000006657"
"ADK","ENSTGUG00000006658"
"GCHFR","ENSTGUG00000006659"
"GNAO1","ENSTGUG00000006660"
"IRF2","ENSTGUG00000006662"
"RPS2","ENSTGUG00000006663"
"KCNG2","ENSTGUG00000006664"
"TTLL7","ENSTGUG00000006665"
"PSMD14","ENSTGUG00000006668"
"TSPAN7","ENSTGUG00000006670"
"LOC100220322","ENSTGUG00000006673"
"TTC19","ENSTGUG00000006675"
"RBFA","ENSTGUG00000006676"
"BCL2L1","ENSTGUG00000006677"
"AP3M1","ENSTGUG00000006678"
"ADGRL2","ENSTGUG00000006679"
"GSN","ENSTGUG00000006681"
"CASP3","ENSTGUG00000006682"
"C5H15orf62","ENSTGUG00000006683"
"AMOTL2","ENSTGUG00000006684"
"LOC100228623","ENSTGUG00000006685"
"C11H16orf70","ENSTGUG00000006686"
"HM13","ENSTGUG00000006687"
"ADNP2","ENSTGUG00000006688"
"NCOR1","ENSTGUG00000006690"
"CAND1","ENSTGUG00000006691"
"RECK","ENSTGUG00000006692"
"MRPL21","ENSTGUG00000006693"
"TRAFD1","ENSTGUG00000006695"
"LOC115497194","ENSTGUG00000006696"
"HECTD4","ENSTGUG00000006699"
"PRIMPOL","ENSTGUG00000006701"
"LOC100190503","ENSTGUG00000006702"
"SENP2","ENSTGUG00000006704"
"IGHMBP2","ENSTGUG00000006705"
"VCL","ENSTGUG00000006706"
"OTC","ENSTGUG00000006707"
"RPL3L","ENSTGUG00000006708"
"TBR1","ENSTGUG00000006709"
"KIAA1841","ENSTGUG00000006710"
"CENPU","ENSTGUG00000006711"
"SLC4A10","ENSTGUG00000006712"
"B3GNT9","ENSTGUG00000006713"
"CENPI","ENSTGUG00000006715"
"HSF4","ENSTGUG00000006716"
"ACSL1","ENSTGUG00000006718"
"IGF2BP2","ENSTGUG00000006719"
"DYRK2","ENSTGUG00000006720"
"SYT12","ENSTGUG00000006722"
"PEX13","ENSTGUG00000006723"
"LOC115496885","ENSTGUG00000006724"
"LOC100218330","ENSTGUG00000006725"
"TGFBR1","ENSTGUG00000006726"
"PUS10","ENSTGUG00000006727"
"TBC1D20","ENSTGUG00000006728"
"PLAU","ENSTGUG00000006730"
"IL22","ENSTGUG00000006732"
"FANCD2","ENSTGUG00000006733"
"MYO5C","ENSTGUG00000006734"
"STOM","ENSTGUG00000006736"
"PTDSS2","ENSTGUG00000006737"
"MDM1","ENSTGUG00000006738"
"SRPX","ENSTGUG00000006739"
"MBTPS1","ENSTGUG00000006740"
"CSNK2A1","ENSTGUG00000006741"
"REL","ENSTGUG00000006743"
"HS3ST6","ENSTGUG00000006746"
"MEIOB","ENSTGUG00000006747"
"CAMK2G","ENSTGUG00000006748"
"ADGRL4","ENSTGUG00000006751"
"DAB2IP","ENSTGUG00000006752"
"ANO9","ENSTGUG00000006753"
"HELT","ENSTGUG00000006754"
"TRMT2B","ENSTGUG00000006755"
"TRIP13","ENSTGUG00000006756"
"SLC25A4","ENSTGUG00000006757"
"SYTL5","ENSTGUG00000006759"
"NUP107","ENSTGUG00000006761"
"PAPOLG","ENSTGUG00000006762"
"LOC115497192","ENSTGUG00000006763"
"CFAP410","ENSTGUG00000006764"
"TTLL11","ENSTGUG00000006765"
"GNB5","ENSTGUG00000006767"
"LOC115490539","ENSTGUG00000006768"
"TKT","ENSTGUG00000006772"
"SIGIRR","ENSTGUG00000006773"
"PFKL","ENSTGUG00000006775"
"BRD9","ENSTGUG00000006776"
"LOC100227069","ENSTGUG00000006778"
"MORN5","ENSTGUG00000006779"
"DKC1","ENSTGUG00000006781"
"LHX6","ENSTGUG00000006782"
"SNX25","ENSTGUG00000006784"
"PKP3","ENSTGUG00000006785"
"DNAJB11","ENSTGUG00000006786"
"LOC100225149","ENSTGUG00000006788"
"MAPK6","ENSTGUG00000006789"
"BCL11A","ENSTGUG00000006790"
"SLC38A8","ENSTGUG00000006792"
"TCF15","ENSTGUG00000006794"
"PTPN11","ENSTGUG00000006795"
"TPPP","ENSTGUG00000006796"
"PIGL","ENSTGUG00000006797"
"FANCL","ENSTGUG00000006799"
"SLC9A3","ENSTGUG00000006804"
"SLC52A3","ENSTGUG00000006805"
"NECAB2","ENSTGUG00000006806"
"DPP4","ENSTGUG00000006807"
"TBCCD1","ENSTGUG00000006809"
"LRP2BP","ENSTGUG00000006810"
"CENPV","ENSTGUG00000006811"
"MPP1","ENSTGUG00000006812"
"COX7C","ENSTGUG00000006814"
"LEO1","ENSTGUG00000006815"
"PTGFR","ENSTGUG00000006816"
"ANGPT4","ENSTGUG00000006818"
"CRYGS","ENSTGUG00000006819"
"DCP1A","ENSTGUG00000006820"
"PTGS1","ENSTGUG00000006822"
"PGGHG","ENSTGUG00000006825"
"EDIL3","ENSTGUG00000006826"
"ANKRD37","ENSTGUG00000006827"
"SLC35E3","ENSTGUG00000006828"
"UFSP2","ENSTGUG00000006829"
"SOX14","ENSTGUG00000006830"
"CLDN18","ENSTGUG00000006831"
"LOC115497185","ENSTGUG00000006834"
"DNAJB4","ENSTGUG00000006835"
"RPH3A","ENSTGUG00000006837"
"VRK2","ENSTGUG00000006838"
"CACNA1D","ENSTGUG00000006839"
"LMF1","ENSTGUG00000006840"
"FUBP1","ENSTGUG00000006841"
"LOC100224843","ENSTGUG00000006845"
"LOC100228347","ENSTGUG00000006847"
"PDLIM3","ENSTGUG00000006848"
"LOC115495437","ENSTGUG00000006849"
"PSMD13","ENSTGUG00000006851"
"EPHB1","ENSTGUG00000006852"
"LRRC14B","ENSTGUG00000006854"
"LOC100224151","ENSTGUG00000006857"
"P2RX5","ENSTGUG00000006858"
"NDST2","ENSTGUG00000006860"
"CFAP47","ENSTGUG00000006861"
"CCDC85A","ENSTGUG00000006863"
"HAPLN1","ENSTGUG00000006865"
"F8","ENSTGUG00000006867"
"RSPO4","ENSTGUG00000006868"
"SSTR5","ENSTGUG00000006869"
"EFEMP1","ENSTGUG00000006870"
"SORBS2","ENSTGUG00000006871"
"LOC100228501","ENSTGUG00000006872"
"TEKT4","ENSTGUG00000006873"
"SLC7A6","ENSTGUG00000006874"
"CPM","ENSTGUG00000006875"
"PDCL","ENSTGUG00000006880"
"CACNA1H","ENSTGUG00000006881"
"VCAN","ENSTGUG00000006883"
"CPSF6","ENSTGUG00000006884"
"SIRT3","ENSTGUG00000006886"
"DMD","ENSTGUG00000006887"
"TMOD2","ENSTGUG00000006888"
"RC3H2","ENSTGUG00000006889"
"B4GALNT4","ENSTGUG00000006890"
"TLR3","ENSTGUG00000006891"
"PSMF1","ENSTGUG00000006892"
"YEATS4","ENSTGUG00000006894"
"KY","ENSTGUG00000006896"
"FAM149A","ENSTGUG00000006897"
"SNPH","ENSTGUG00000006898"
"VPS51","ENSTGUG00000006901"
"ZSWIM8","ENSTGUG00000006902"
"CEP63","ENSTGUG00000006904"
"SART3","ENSTGUG00000006905"
"FRS2","ENSTGUG00000006906"
"SLC7A6OS","ENSTGUG00000006907"
"PNPT1","ENSTGUG00000006908"
"EMC6","ENSTGUG00000006909"
"XRCC4","ENSTGUG00000006911"
"CCT2","ENSTGUG00000006912"
"INCENP","ENSTGUG00000006913"
"IFIH1","ENSTGUG00000006914"
"PRMT7","ENSTGUG00000006916"
"LYSMD2","ENSTGUG00000006918"
"CTNS","ENSTGUG00000006919"
"NEXN","ENSTGUG00000006920"
"SCG3","ENSTGUG00000006921"
"LOC100230859","ENSTGUG00000006924"
"TMEM41A","ENSTGUG00000006925"
"PPP1R17","ENSTGUG00000006926"
"LOC100232561","ENSTGUG00000006928"
"LOC100229828","ENSTGUG00000006930"
"SLC12A7","ENSTGUG00000006931"
"CHDH","ENSTGUG00000006933"
"RABGAP1","ENSTGUG00000006934"
"ATP6AP1L","ENSTGUG00000006935"
"ISCU","ENSTGUG00000006939"
"MIGA1","ENSTGUG00000006940"
"SHPK","ENSTGUG00000006941"
"NSFL1C","ENSTGUG00000006942"
"ATG10","ENSTGUG00000006943"
"OGT","ENSTGUG00000006944"
"ACTR8","ENSTGUG00000006945"
"LOC100228027","ENSTGUG00000006947"
"SSBP2","ENSTGUG00000006949"
"KCNH7","ENSTGUG00000006950"
"TRPV1","ENSTGUG00000006952"
"USP33","ENSTGUG00000006953"
"TMEM119","ENSTGUG00000006954"
"GLDN","ENSTGUG00000006955"
"CORO1C","ENSTGUG00000006956"
"SELENOK","ENSTGUG00000006957"
"MAP3K13","ENSTGUG00000006958"
